Timestamp,Username,Location,Machine ID
"11/11/2025, 2:31:52 PM",admin,"Amrut Nagar (lat:19.1730, lon:73.0244)",55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503
"11/11/2025, 2:35:19 PM","yahya","Location denied","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
"11/11/2025, 2:37:41 PM","yahya","Amrut Nagar (lat:19.1729, lon:73.0244)","55636be7df5df5736cf28c8aa60ff7999c8ff13580ea6d535a652727003ff503"
