"Timestamp","Username","Location","Device"
"11/6/2025, 3:28:53 PM","admin","Location denied","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
"11/6/2025, 3:37:10 PM","admin","lat:19.1267, lon:72.8728","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
"11/6/2025, 4:07:02 PM","yahya","lat:19.1267, lon:72.8728","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
"11/6/2025, 4:51:21 PM","yahya","lat:19.1729, lon:73.0244","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"
